Song,Author,Feat,Lyric
Terremoto,Anitta,MC Kevinho,terremoto-anitta.txt
Salvou meu dia,MC Kevinho,Gusttavo Lima,salvou-meu-dia-mc-kevinho.txt
O bebê,MC Kevinho,MC Kekel,o-bebe-mc-kevinho.txt
Quem tem o dom,Jerry Smith,Wesley Safadão,quem-tem-o-dom-jerry-smith.txt
Agora é tudo meu ,Dennis DJ,MC Kevinho,agora-e-tudo-meu-dennis-dj.txt
Facilita,MC Kevinho,,facilita-mc-kevinho.txt
Bola rebola,Tropkillaz,Anitta,bola-rebola-tropkillaz.txt
Favela chegou,Ludmilla,Anitta,favela-chegou-ludmilla.txt
Amor de verdade,MC Kekel,MC Rita,amor-de-verdade-mc-kekel.txt
Ta tum tum ,MC Kevinho,Simone e Simara,ta-tum-tum-mc-kevinho.txt
Amor bandido,Lexa,MC Kekel,amor-bandido-lexa.txt
Você partiu meu coração,Nego do Borel,Anitta,voce-partiu-meu-coracao-nego-do-borel.txt
Só você,Dennis DJ,,so-voce-dennis-dj.txt
Vai malandra,Anitta,,vai-malandra-anitta.txt
Parado no bailão,MC L Da Vinte,MC Gury,parado-no-bailao-mc-l-da-vinte.txt
Cheguei,Ludmilla,,cheguei-ludmilla.txt
Medley da gaiola,MC Kevin,Dennis DJ,medley-da-gaiola-mc-kevin.txt
Vamos pra gaiola,MC Kevin,,vamos-pra-gaiola-mc-kevin.txt
Rabiola,MC Kevinho,,rabiola-mc-kevinho.txt
Só quer vrau,MC MM,,so-quer-vrau-mc-mm.txt
Olha a explosão,MC Kevinho,,olha-a-explosao-mc-kevinho.txt
Que tiro foi esse,Jojo Maronttinni,,que-tiro-foi-esse-jojo-maronttinni.txt
Solteiro nunca está só,MC Kekel,,solteiro-nunca-esta-so-mc-kekel.txt
Deu onda,MC G15,,deu-onda-mc-g15.txt
O grave bater,MC Kevinho,,o-grave-bater-mc-kevinho.txt
Papum,MC Kevinho,,papum-mc-kevinho.txt
Vai menina,Pedro Sampaio,,vai-menina-pedro-sampaio.txt
Agora vai sentar,MC's Jhowzinho e Kadinho,,agora-vai-sentar-mcs-jhowzinho-e-kadinho.txt
Amar? Amei,MC Don Juan,,amar-amei-mc-don-juan.txt
Din Din Din,Ludmilla,,din-din-din-ludmilla.txt